County Name,Rate or Count,Type of Drug Class,Type of Rate or Count Measure,Time Measure,Year,Time Period,Quarter Date Start,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries
PERRY,"5,832",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,50,50,42,099,"(40.4041531744, -77.2590738496)","1,648",485,37,23,61
TIOGA,"7,502",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,59,59,42,117,"(41.7733383358, -77.2578807579)",97,477,77,14,48
LANCASTER,"82,132",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,36,36,42,071,"(40.0459079619, -76.2513876838)",222,74,144,25,23
LANCASTER,"76,602",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,36,36,42,071,"(40.0459079619, -76.2513876838)",222,74,144,25,23
POTTER,"2,427",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,53,53,42,105,"(41.7442064382, -77.8987922939)","2,155",58,14,14,63
WESTMORELAND,"91,063",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,65,65,42,129,"(40.3103149985, -79.471341176)","2,447",209,6,13,24
WAYNE,"9,594",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,64,64,42,127,"(41.6496980525, -75.3051535022)","1,928",433,89,29,53
FULTON,"2,406",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,29,29,42,057,"(39.9248751086, -78.1148504535)",164,472,31,17,36
JEFFERSON,"11,883",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,33,33,42,065,"(41.1313909115, -79.0010181419)","1,361",107,16,14,20
DELAWARE,"98,910",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,23,23,42,045,"(39.9165786652, -75.4062771212)",782,380,63,35,28
BLAIR,"40,698",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,7,07,42,013,"(40.4855502384, -78.349076871)",294,268,28,17,46
CRAWFORD,"24,369",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,20,20,42,039,"(41.6854690692, -80.1132108295)","1,995",344,47,3,16
CLEARFIELD,"15,491",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,17,17,42,033,"(41.0004290024, -78.4755834299)",276,141,19,16,8
YORK,"64,549",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,67,67,42,133,"(39.9219253124, -76.7257605231)",470,43,136,24,12
CHESTER,"67,413",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,15,15,42,029,"(39.9748705566, -75.7562649818)","2,415",69,147,32,6
TIOGA,"6,214",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,59,59,42,117,"(41.7733383358, -77.2578807579)",97,477,77,14,48
WAYNE,"9,782",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,64,64,42,127,"(41.6496980525, -75.3051535022)","1,928",433,89,29,53
COLUMBIA,"14,475",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,19,19,42,037,"(41.0491208559, -76.4100217975)","1,073",24,90,22,10
WARREN,"7,594",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,62,62,42,123,"(41.8167523652, -79.278581578)","1,741",234,60,5,51
CRAWFORD,"21,933",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,20,20,42,039,"(41.6854690692, -80.1132108295)","1,995",344,47,3,16
CAMERON,"1,124",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,12,12,42,023,"(41.4388026531, -78.2091693241)","1,009",105,14,14,3
CAMERON,995,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,12,12,42,023,"(41.4388026531, -78.2091693241)","1,009",105,14,14,3
LAWRENCE,"19,405",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,37,37,42,073,"(40.9932503514, -80.3375411446)",622,231,22,2,27
SULLIVAN,632,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,57,57,42,113,"(41.4480993958, -76.5147922046)","1,389",416,88,21,67
MONTOUR,"6,060",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,47,47,42,093,"(41.0280182438, -76.6647052668)",963,64,54,22,58
BRADFORD,"11,703",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,8,08,42,015,"(41.7911781401, -76.5182562384)",442,349,88,21,34
FULTON,"2,570",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,29,29,42,057,"(39.9248751086, -78.1148504535)",164,472,31,17,36
WARREN,"6,931",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,62,62,42,123,"(41.8167523652, -79.278581578)","1,741",234,60,5,51
LYCOMING,"25,169",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,41,41,42,081,"(41.3445979226, -77.069424568)","1,905",441,75,21,15
CENTRE,"19,612",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,14,14,42,027,"(40.9193135008, -77.8250011212)","1,790",37,74,18,5
DELAWARE,"100,495",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,23,23,42,045,"(39.9165786652, -75.4062771212)",782,380,63,35,28
MONTGOMERY,"141,341",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,46,46,42,091,"(40.209898739, -75.3725200072)","1,082",249,152,33,57
FAYETTE,"34,696",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,26,26,42,051,"(39.919447803, -79.6518963464)",435,204,8,1,31
CENTRE,"18,806",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,14,14,42,027,"(40.9193135008, -77.8250011212)","1,790",37,74,18,5
ERIE,"60,357",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,25,25,42,049,"(41.9941378702, -80.0407591036)","1,153",163,52,3,30
FOREST,803,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,27,27,42,053,"(41.5135787577, -79.2378099483)",207,186,60,5,32
UNION,"6,604",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,60,60,42,119,"(40.9647313096, -77.0641580308)","1,979",296,72,21,49
FRANKLIN,"27,079",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,28,28,42,055,"(39.9278619704, -77.7239884483)",380,19,33,19,33
CARBON,"10,791",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,13,13,42,025,"(40.9193670081, -75.7110703866)",688,199,108,30,4
LACKAWANNA,"56,262",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,35,35,42,069,"(41.4391006428, -75.6121834524)","1,283",253,125,34,22
WARREN,"7,213",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,62,62,42,123,"(41.8167523652, -79.278581578)","1,741",234,60,5,51
PERRY,"5,940",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,50,50,42,099,"(40.4041531744, -77.2590738496)","1,648",485,37,23,61
CAMBRIA,"33,313",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,11,11,42,021,"(40.4912749067, -78.7189417385)","1,228",23,20,16,2
MIFFLIN,"9,677",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,44,44,42,087,"(40.6127492804, -77.6200308901)",587,295,36,18,55
ELK,"6,476",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,24,24,42,047,"(41.4281941606, -78.6494771322)","1,258",405,15,14,29
BUCKS,"98,367",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,9,09,42,017,"(40.335011331, -75.1129124111)",430,22,145,40,35
PHILADELPHIA,"269,211",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,51,51,42,101,"(40.0044435384, -75.140236002)","1,069",365,182,46,13
MONTOUR,"6,248",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,47,47,42,093,"(41.0280182438, -76.6647052668)",963,64,54,22,58
ARMSTRONG,"12,256",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,3,03,42,005,"(40.8150952555, -79.4731689893)",834,106,11,15,41
LEHIGH,"78,391",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,39,39,42,077,"(40.6146479416, -75.6009948118)",506,336,115,36,26
SOMERSET,"12,508",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,56,56,42,111,"(39.9714629901, -79.0310020611)",799,428,30,1,66
ELK,"6,330",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,24,24,42,047,"(41.4281941606, -78.6494771322)","1,258",405,15,14,29
BEAVER,"36,412",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,4,04,42,007,"(40.6834924548, -80.3510735648)",379,2,23,2,42
WASHINGTON,"39,057",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,63,63,42,125,"(40.1910966345, -80.2518008276)","1,132",351,4,12,52
CLEARFIELD,"15,709",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,17,17,42,033,"(41.0004290024, -78.4755834299)",276,141,19,16,8
CARBON,"10,534",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,13,13,42,025,"(40.9193670081, -75.7110703866)",688,199,108,30,4
MIFFLIN,"10,524",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,44,44,42,087,"(40.6127492804, -77.6200308901)",587,295,36,18,55
PERRY,"5,724",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,50,50,42,099,"(40.4041531744, -77.2590738496)","1,648",485,37,23,61
ELK,"5,786",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,24,24,42,047,"(41.4281941606, -78.6494771322)","1,258",405,15,14,29
NORTHUMBERLAND,"20,978",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,49,49,42,097,"(40.8515092572, -76.7118842273)","2,094",375,73,22,60
CLINTON,"8,224",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,18,18,42,035,"(41.2328627374, -77.6428376046)","1,835",206,74,14,9
BLAIR,"38,947",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,7,07,42,013,"(40.4855502384, -78.349076871)",294,268,28,17,46
POTTER,"2,189",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,53,53,42,105,"(41.7442064382, -77.8987922939)","2,155",58,14,14,63
LAWRENCE,"17,839",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,37,37,42,073,"(40.9932503514, -80.3375411446)",622,231,22,2,27
SNYDER,"5,758",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,55,55,42,109,"(40.7711373692, -77.0725596804)","2,255",254,72,22,65
VENANGO,"10,768",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,61,61,42,121,"(41.4034125863, -79.7628656104)","1,400",71,45,5,50
CAMERON,901,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,12,12,42,023,"(41.4388026531, -78.2091693241)","1,009",105,14,14,3
MERCER,"29,851",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,43,43,42,085,"(41.302377765, -80.2600941079)","1,048",300,48,3,54
MONROE,"30,399",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,45,45,42,089,"(41.0609178653, -75.3408360302)",912,362,121,38,56
INDIANA,"22,496",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,32,32,42,063,"(40.6529549748, -79.0933349286)",415,269,27,15,19
MIFFLIN,"10,027",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,44,44,42,087,"(40.6127492804, -77.6200308901)",587,295,36,18,55
HUNTINGDON,"5,754",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,31,31,42,061,"(40.4161050032, -77.9827661036)","1,344",290,32,17,38
BEDFORD,"7,662",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,5,05,42,009,"(40.0073753643, -78.4911647381)","1,549",3,31,16,43
TIOGA,"7,273",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,59,59,42,117,"(41.7733383358, -77.2578807579)",97,477,77,14,48
CUMBERLAND,"41,738",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,21,21,42,041,"(40.167598388, -77.268662705)","2,128",146,40,20,17
CENTRE,"16,912",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,14,14,42,027,"(40.9193135008, -77.8250011212)","1,790",37,74,18,5
COLUMBIA,"13,834",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,19,19,42,037,"(41.0491208559, -76.4100217975)","1,073",24,90,22,10
JUNIATA,"3,281",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,34,34,42,067,"(40.5343300836, -77.405775001)",53,201,36,18,21
SNYDER,"6,213",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,55,55,42,109,"(40.7711373692, -77.0725596804)","2,255",254,72,22,65
ARMSTRONG,"12,938",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,3,03,42,005,"(40.8150952555, -79.4731689893)",834,106,11,15,41
CARBON,"12,109",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,13,13,42,025,"(40.9193670081, -75.7110703866)",688,199,108,30,4
BERKS,"63,816",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,6,06,42,011,"(40.4193963513, -75.9307732705)",191,435,46,27,45
CLARION,"6,582",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,16,16,42,031,"(41.1927912877, -79.4248360769)","1,081",46,24,5,7
CLINTON,"8,141",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,18,18,42,035,"(41.2328627374, -77.6428376046)","1,835",206,74,14,9
HUNTINGDON,"6,555",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,31,31,42,061,"(40.4161050032, -77.9827661036)","1,344",290,32,17,38
CRAWFORD,"20,678",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,20,20,42,039,"(41.6854690692, -80.1132108295)","1,995",344,47,3,16
BRADFORD,"12,889",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,8,08,42,015,"(41.7911781401, -76.5182562384)",442,349,88,21,34
SUSQUEHANNA,"5,494",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,58,58,42,115,"(41.8205685982, -75.8025030296)","2,466",321,89,21,44
JEFFERSON,"11,092",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,33,33,42,065,"(41.1313909115, -79.0010181419)","1,361",107,16,14,20
ELK,"6,874",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,24,24,42,047,"(41.4281941606, -78.6494771322)","1,258",405,15,14,29
LUZERNE,"74,825",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,40,40,42,079,"(41.1783643884, -75.991996098)",406,52,92,30,14
LEBANON,"28,035",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,38,38,42,075,"(40.3675970024, -76.4618257486)",371,44,130,28,25
ADAMS,"11,569",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,1,01,42,001,"(39.8720956503, -77.2222427076)","1,949",92,35,19,39
SUSQUEHANNA,"5,130",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,58,58,42,115,"(41.8205685982, -75.8025030296)","2,466",321,89,21,44
BERKS,"62,520",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,6,06,42,011,"(40.4193963513, -75.9307732705)",191,435,46,27,45
DAUPHIN,"50,385",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,22,22,42,043,"(40.4197463597, -76.7796056802)","2,368",25,41,23,18
WASHINGTON,"37,994",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,63,63,42,125,"(40.1910966345, -80.2518008276)","1,132",351,4,12,52
MERCER,"28,673",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,43,43,42,085,"(41.302377765, -80.2600941079)","1,048",300,48,3,54
LEHIGH,"72,036",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,39,39,42,077,"(40.6146479416, -75.6009948118)",506,336,115,36,26
BEAVER,"36,344",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,4,04,42,007,"(40.6834924548, -80.3510735648)",379,2,23,2,42
NORTHUMBERLAND,"19,766",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,49,49,42,097,"(40.8515092572, -76.7118842273)","2,094",375,73,22,60
FULTON,"2,815",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,29,29,42,057,"(39.9248751086, -78.1148504535)",164,472,31,17,36
FRANKLIN,"23,931",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,28,28,42,055,"(39.9278619704, -77.7239884483)",380,19,33,19,33
BEDFORD,"7,055",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,5,05,42,009,"(40.0073753643, -78.4911647381)","1,549",3,31,16,43
BLAIR,"36,142",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,7,07,42,013,"(40.4855502384, -78.349076871)",294,268,28,17,46
PENNSYLVANIA,"2,359,313",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,0,00,42,000,"(39.346129, -75.167756)",,,,,
ARMSTRONG,"12,428",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,3,03,42,005,"(40.8150952555, -79.4731689893)",834,106,11,15,41
DAUPHIN,"46,920",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,22,22,42,043,"(40.4197463597, -76.7796056802)","2,368",25,41,23,18
SULLIVAN,635,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,57,57,42,113,"(41.4480993958, -76.5147922046)","1,389",416,88,21,67
SULLIVAN,682,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,57,57,42,113,"(41.4480993958, -76.5147922046)","1,389",416,88,21,67
ALLEGHENY,"286,060",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,2,02,42,003,"(40.4673554298, -79.9861984282)","2,158",324,163,6,40
LAWRENCE,"17,825",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,37,37,42,073,"(40.9932503514, -80.3375411446)",622,231,22,2,27
SOMERSET,"12,770",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,56,56,42,111,"(39.9714629901, -79.0310020611)",799,428,30,1,66
CAMBRIA,"35,459",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,11,11,42,021,"(40.4912749067, -78.7189417385)","1,228",23,20,16,2
SULLIVAN,623,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,57,57,42,113,"(41.4480993958, -76.5147922046)","1,389",416,88,21,67
PERRY,"5,542",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,50,50,42,099,"(40.4041531744, -77.2590738496)","1,648",485,37,23,61
MERCER,"31,907",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,43,43,42,085,"(41.302377765, -80.2600941079)","1,048",300,48,3,54
BERKS,"57,234",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,6,06,42,011,"(40.4193963513, -75.9307732705)",191,435,46,27,45
