Link-Statewide,Class,Count,County,Dashboard,Link-PDMPNotes,Link-OverdoseNotes,Link-Contact,Link-Emergency,Measure1,Notes,Number of Records,Link-Controlled,Time Measure,Time Period
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.759287716,LEHIGH,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.926970155,LUZERNE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.655860083,LYCOMING,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.491437081,MC KEAN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.511179268,MERCER,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.420560748,MIFFLIN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.566037736,MONTOUR,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.335677749,NORTHUMBERLAND,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.862843789,SCHUYLKILL,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.432224757,SOMERSET,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.776476709,STATE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.627769572,SUSQUEHANNA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.341369746,TIOGA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.457961484,UNION,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.296774194,VENANGO,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.326157860,WARREN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.048558715,WASHINGTON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.342679128,WAYNE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.675295442,WESTMORELAND,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.227710812,ALLEGHENY,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.132837407,ARMSTRONG,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0,BEAVER,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.178011962,BERKS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.059544063,BLAIR,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.068930563,BUCKS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.104459622,BUTLER,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.106050787,CAMBRIA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.225583864,CARBON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.033588607,CENTRE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0,CLINTON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.064102564,CRAWFORD,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.126452701,CUMBERLAND,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.231687756,DAUPHIN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.294146294,DELAWARE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.142367178,FAYETTE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0,HUNTINGDON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.062195501,INDIANA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.027151778,LACKAWANNA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.069055475,LAWRENCE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.133958473,LEBANON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.070053331,LEHIGH,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.088020905,LUZERNE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.137796151,MERCER,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.089879561,SCHUYLKILL,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0,SOMERSET,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.112924688,STATE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0,TIOGA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.070455613,UNION,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0,WARREN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.294060747,WASHINGTON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,0.197897659,ALLEGHENY,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,0.119553666,ARMSTRONG,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,0,BEAVER,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,0.156650527,BERKS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,0.042531473,BLAIR,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,0.068930563,BUCKS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,0.096424267,BUTLER,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,0.100159076,CAMBRIA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,0.172505308,CARBON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,0,CLINTON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
